鸦 鴉 [āa] "a crow"    
大卡士 大卡士 "[daaih kāa sí]" "(big<cast)an all-star cast"    
大旗 大旗 "[daaih kèih]" "(big flag)a big fare, i.e. a customer who is going to a distant destination (taxi driver jargon)."    
大菌食细菌 大菌食細菌 "[daai kwán sihk sai kwán]" "(big bacteria eat small bacteria)there's no need to worry about what one eats."    
大缆扯唔埋 大纜扯唔埋 "[daaih laahm ché m4 màaih]" "(big mooring-rope wind not approach)two people or groups who are always in conflict."    
大懒蛇 大懶蛇 "[daaih láahn sèh]" "(big lazy snake)a lazy person."    
大捻镬 大撚鑊 "[daaih lán wohk]" "an obscene expression used to describe a serious problem or crisis, a ""fucking screw-up""."    
大捞家 大撈家 "[daaih lōu gāa]" "(big earn a living family)someone who earns a living from vice."    
大佬 大佬 "[daaih lóu]" "(big brother)1. a boss2. an older senior colleague3. a supervisor, captain4. an exclamation used to express impatience with someone (male or female)5. a triad boss"    
大佬辈 大佬輩 "[daaih lóu bui]" "the status of traid big brother; triad members who are big brothers, who have high status."    
大路元帅 大路元帥 "[daai louh yùhn seui]" "the first route marshal, a traditional triad rank, triad lodge leader or ""Dragon Head""."    
大陆仔 大陸仔 "[daaih luhk jái]" "(mainland boy)a mainland boy, a young man from mainland China in Hong Kong."    
大陆妹 大陸妹 "[daaih luhk mūi]" "(mainland girl)a mainland girl, a young woman from mainland China in Hong Kong"    
大碌 大碌 "[daaih lūk]" "(big piece)things have gone wrong" " to be in a bad situation."   
大辘 大轆 "[daaih lūk]" "(big wheel)a bus (taxi driver jargon)."    
"大碌鬼 " "大碌鬼 " "[daaih lūk gwái]" "prisoners who have been sentenced to long terms."    
大碌木 大碌木 "[daaih lūk muhk]" "(big piece of wood)a large penis"    
大麻 大麻 "[daaih màah]" cannabis    
大命 大命 "[daaih mehng]" "(big life)lucky, providential, having had a narrow escape."    
大唔透 大唔透 "[daaih m4 tau]" "an older person who is young at heart."    
大摩 大摩 "[daaih mō]" "Morgan Stanley investment house"    
大蟒蛇 大蟒蛇 "[daaih móhng sèh]" "(big python)a big penis"    
大懵 大懵 "[daaih múng]" "(big stupid)an idiot, an absent-minded person"    
大懵鬼 大懵鬼 "[daaih múng gwái]" "(big stupid ghost)an idiot"    
大拿拿 大拿拿 "[daaih nàah nàah]" "too large an amount of money to be seen as trivial (used to express surprise or shock or disapproval at the spending of a sum of money)."    
大男人 大男人 "[daaih nàahm ynāpn]" "a domineering man."    
大谂头 大諗頭 "[daaih nám tàuh]" "(big thking)ambitious, over-ambitious (of a plan or scheme)."    
大粒 大粒 "[daaih nāp]" "an important person, a ""big-shot"", a ""big-wig'."    
大粒佬 大粒佬 "[daaih nāp lóu]" "a very powerful person; a rich, influential person."    
大粒墨 大粒墨 "[daaih nāp māk]" "(big classifier mole)a person with a big mole."    
大粒嘢 大粒嘢 "[daaih nāp yéh]" "an important person, a powerful person."    
大咬 大咬 "[daaih ngáauh]" "greedy，hard to satisfy (e.g. food, sex)"    
大牛 大牛 "[daaih ngàuh]" "a five hundred dollar note"    
大鳄 大鱷 "[daaih ngohk]" "(big crocodile)1. a powerful and ruthless player in the stock market2. a big criminal, a master swindler"    
大柠乐 大檸樂 "[daaih níng lohk]" "(large lemon coke)a disaster，a crisis, a problem (a euphemistic or humorous variant of 大撚鑊 daaih lán wohk)."    
大安旨意 大安旨意 "[daaih ōn jí yi]" "(big peace purpot)to have a false sense of security; to be unaware of, or choose to ignore，any risk or danger"    
大棚 大棚 "[daaih pàahng]" "(big shed)a large group" " we as a group"   
大牌 大牌 "[daaih páai]" "(big license)1. a big-shot2. a star3. a self-important person"    
大牌档 大牌檔 "[daaih pàaih dong]" "(big license stall)street food stall"    
大泡和 大泡和 "[daaih pāau wòh]" "(big Pau Wo)an absent minded, scatter-brained person."    
大炮 大炮 "[daaih paau]" "(big cannon)1. to lie, to tell a lie2. the penis."    
大炮鬼 大炮鬼 "[daaih paau gwái]" "(big cannon ghost)a braggard" " a liar."   
大炮友 大炮友 "[daaih paau yáu]" "(big cannon bloke)a braggard" " a liar."   
大劈友 大劈友 "[daaih pek yáu]" "a big fight, a big street battle."    
大婆 大婆 "[daaih pó]" "(main wife)a wife (as opposed to a concubine or mistress)."    
大㗰 大㗰 "[daaih sāai]" wasteful    
大晒 大晒 "[daaih saai]" "1. all-powerful2. to show one's hand (in a card game)."    
大晒马 大晒馬 "[daaih saai máah]" "to make a big show of force."    
大山婆 大山婆 "[daaih sāan pòh]" "(big mountain woman)a tall, heavy-set woman."    
大使 大使 "[daaih sái]" "wasteful (of money)."    
大细 大細 "[daaih sai]" "(big small)a game played with three dice in a casino, formally known as 骰寶 sīk bóu (""dice treasure"") or 估骰 gú sìk (""guess dice"")."    
大细超 大細超 "[daaih sai chīu]" "(big small stare)1. someone in a position of power who practices favouritism2. to show favouristism, to not be impartial. "    
大细路 大細路 "[daaih sai louh]" "(big child)an older person who is young at heart. "    
大蛇痾尿 大蛇痾尿 "[daaih sèh ō liuh]" "a big business deal, an important deal."    
大蛇痾屎 大蛇痾屎 "[daaih sèh ō síh]" "(big snake shits)a big business deal, an important deal."    
大石笮/压死蟹 大石笮/壓死蟹 "[daaih sehk jaak/ngaat séi háaih]" "(big stone crushes crab)an unqeual contest"    
大声公 大聲公 "[daaih sēng gūng]" "(big voice man)1. a megaphone2. a loud-mouthed man, a big-mouth"    
大水 大水 "[daai séui]" "(big water)congested road conditions (truck drive jargon)."    
大信封 大信封 "[big envelope]" "a dismissal letter, a letter giving an employee sack."    
大事化小小事化无 大事化小小事化無 "[daaih sih faa síu, síu sih faa mòuh]" "used to ask that a problem be treated as not so serious, that unnecessary trouble be avoided, ""please don't take this so seriously!""."    
大食 大食 "[daaih sihk]" "(eating big)1. to have a big sexual appetite" " to be sexually demanding2. (of a car) to consume a lot of gasoline. "   
大食懒 大食懶 "[daaih sihk láahn]" "someone who enjoys eating and having fun but tries to avoid work. "    
大笑姑婆 大笑姑婆 "[daaih siu gú pòh]" "(big laugh auntie)a happy and cheerful older woman who is always laughing. "    
大傻 大傻 "[daaih sòh]" "(big fool)very silly" " a big fool"   
大贪 大貪 "[daaih tāam]" "(big greedy)1. a greedy person2. a covetous, lecherous person."    
大贪鬼 大貪鬼 "[daaih tāam gwái]" "1. a greedy person2. a covetous, lecherous person."    
大叹特叹 大嘆特嘆 "[daai taan dahk taan]" "to live a life of ease, to enjoy the good life."    
大头鬼 大頭鬼 "[daaih tàuh gwái]" "big-spending, generous, free with money."    
大头虾 大頭蝦 "[daaih tàuh hāa]" "(big head prawn)an absent-minded person."    
大肚 大肚 "[daaih tòh]" "(big belly)pregnant"    
大话 大話 "[daaih waah]" "(big word)a lie"    
大话鬼 大話鬼 "[daaih waah gwái]" "(lying ghost)a liar"    
大话精 大話精 "[daaih waah jīng(lying spirit)a liar]"     
大话骰 大話骰 "[daaih waah sīk]" """Liar's dice"", a dice-game involing bluffing, commonly played in pubs and bars."    
大镬 大鑊 "[daaih wohk]" "a mess" " a disaster"   
大镬饭 大鑊飯 "[daaih wohk faahn]" "(a large wok of rice)1. a system of equal rewards regardless of work done (formerly used in mainland China)2. a big mess, a disaster"    
大镬嘢 大鑊嘢 "[daaih wohk yèh]" "a big mess, a disaster"    
大皇 大皇 "[daai wòhng]" "(big king)the boss of a crime syndicate (""Mr Big""), the leader of a conspiracy."    
大人 大人 "[daaih yàhn]" "1. adult2. an important person, a senior person , one of the bosses3. a traid boss"    
大人大姐 大人大姐 "[daaih yàhn daaih jé]" "(big person big sister)a grown-up (used to criticise childish behavior)."    
大人物 大人物 "[daaih yàhn mát]" "(big man thing)an important person"    
大人有大量 大人有大量 "[daaih yàhn yáhn daaih leuhng]" "(a great man shows a great tolerance)a request to someone to be forgiving. "    
大(铺)瘾 大(鋪)癮 "[daaih (pōu) yáhn]" "to be strongly addicted, to be obsessive about something. "    
大姨妈 大姨媽 "[daaih yìh lūng]" "(big auntie)menstrual period."    
大耳窿 大耳窿 "[daaih yíh lūng]" "(big ear hole)a debt collection agent, a ""loan shark"". "    
大热 大熱 "[daaih yiht]" "very popular, very fashionable, very ""hot""."    
大烟 大煙 "[daaih yīn]" "(big smoke)opium"    
大雨 大雨 "[daaih yúh]" "1. big rain2. big breasts, a pun on 乳 yúh meaning ""breast"". "    
担 擔 [dāam] "to carry"    
担大旗 擔大旗 "[dāam daaih kèih]" "(holding big flag)a leader, the person in charge"    
担幡买水 擔幡買水 "[dāam fāan máaih séui]" "a ceremony carried out by the eldest son for a dead parent. "    
担屎唔偷食 擔屎唔偷食 "[dāam sí m4 tāu sihk]" "(to carry shit and not eat it)to be completely trustworthy. "    
担梯 擔梯 "[dāam tāi]" "to carry the ladderto fail in an examination (previously the lowest fail grade an ""H"" which look like a ladder)."    
眈天望地 眈天望地 "[dāam tīn mohng deih]" "(stare at the sky, look at the ground)to have nothing to do; to be inattentive."    
胆 膽 [dáam] "1. the gall-bladder2. brave"    
胆搏胆 膽搏膽 "[dáam bohk dáam]" "to take risks"    
胆粗粗 膽粗粗 "[dáam chōu chōu]" "(big gall bladder)fearless, foolhardy"    
胆生毛 膽生毛 "[dáam sāang mōuh]" "(gall bladder grows hair)audacious, bold, ""cheeky"" (often used to accuse someone of disrespect)."    
丹 丹 [dāan] "a pill"    
丹青 丹青 "[dāan chīng]" "a painting, a picture, a photograph"    
单 單 [dāan] single    
单单打打 單單打打 "[dāan dāan dáa dáa]" "to use strong language to criticise someone. "    
单打 單打 "[dāan dáa]" "to use strong language to criticise someone."    
单吊西 單吊西 "[dāan diu sāi]" "a western-style suit"    
单力 單力 "[dāan dōu]" "a solo effort, an individual effort in attack (soccer jargon)."    
单刀直入 單刀直入 "[dāan dōu jihk yahp]" "to come straight to the point"    
单身寡佬 單身寡佬 "[dāan sāan gwá lóu]" "(single person guy alone)a bachelor, unattached man."    
单声 單聲 "[dāan sēng]" "(single voice)to give someone a message, to pass on a message."    
单拖 單拖 "[dāan tō]" "to be by oneself, alone."    
单位 單位 "[dāan wái]" "1. flat2. work unit3. a traid group, a triad unit"    
蛋家婆摸蚬 蛋家婆摸蜆 "[daan gāa pòh mó hín]" "Tanka boatwoman gropes for clams→第篩 [daih sai] looks in the sieveto have given up hope, to have only hope for the next life, to have no hope (篩 sai ""sieve"" puns with 世 sai ""life"", meaning here ""the next life"")."    
嗒 嗒 [dāap/dēp] "to lick"    
嗒得杯落 嗒得杯落 "[dāap dāk būi lohk]" "attractive, very good; cute (especially a young woman), sexy (of a woman). "    
嗒落有味 嗒落有味 "[dāap lohk yáuh meih]" "(after careful tasting, the flavour comes out)the significance of something or the meaning of what was said becomes clear after careful consideration."    
嗒晒糖 嗒晒糖 "[dāap saai tòhng]" "(to taste all sugar)to be sexually attracted to someone. "    
嗒糖 嗒糖 "[dāap tòhng]" "(to taste sugar)1. to be sexually attracted to someone2. to be happy about something."    
搭 搭 [daap] "to take"    
搭沉船 搭沉船 "[daap chàhm syùhn]" "(to take a sinking ship)to invest in a failing company, to join a doomed venture, to join a ""sinking ship""."    
搭错线 搭錯線 "[daap cho sin]" "(to reach wrong line)to misunderstand something"    
搭单 搭單 "[daap dāan]" "(to share the invoice)to add one's order to someone else's order for the sake of convenience (e.g when one person is going somewhere to buy some goods, and as a favour obtains goods there fore someone else). "    
搭爹 搭爹 "[daap dē]" "(extra chat)to interrupt a conversation"    
搭的 搭的 "[daap dīk]" "to take a taxi"    
搭档 搭檔 "[daap dong]" "(to join stalls)to join forces, to merge, to go into partnersho."    
搭嘴/咀 搭嘴/咀 "[daap jéui]" "(extra mouth)to interrupt a conversation"    
搭桥铺路 搭橋舖路 "[daap kìuh pōu louh]" "to prepare the way for someone, to smooth someone's way, to make arrangements in advance for someone, to fix things in advance."    
搭棚 搭棚 "[daap pàahng]" "(bamboo scaffold)1. a construction-site2. to shoot a scene, to play a scene (film, theatre, TV)3. to share the cost of a meal, to ""go Dutch"". "    
搭檯 搭檯 "[daap tói]" "to share a table in a restaurant with someone you don't know."    
挞出嚟 撻出嚟 "[daat chēut làih]" "to display"    
挞大佬朵 撻大佬朵 "[daat daaih lóu dó]" "to mention one's older traid brother's name so as to be protected by his reputation."    
挞朵 撻朵 "[daat dó]" "1. to invoke the name or power of someone2. to reveal oneself (to be a person of importance)3. to name drop4. to reveal one's position in a traid society."    
特 特 [dahk] exceptional    
特登 特登 "[dahk dāng]" "on purpose, intentionally, deliberately"    
炖/炖 燉/炖 [dahn] "to stew"    
炖冬菰 燉冬菰 "[dahn dūng gū]" "(stewed mushroom)1. demotion2. to be demoted (especially police, uniformed services)."    
戥 戥 [dahng] "a steelyard"    
戥穿石 戥穿石 "[dahng chyūn sehk]" "(balace through stone)a group of men who assist the bridegroom at his wedding. "    
戥番匀 戥番勻 "[dahng fāan wàhn]" "1. to strike a balance2. to make the teams even."    
戥脚 戥腳 "[dahng geuk]" "to be the forth player, to make up a foursome (especially in mahjong)."    
戥你开心 戥你開心 "[dahng néih hōi sām]" "I'm pleased for you (e.g. wedding, graduation, promotion, etc.)"    
戥人唔抵 戥人唔抵 "[dahng yàhn m4 dái]" "feeling dissatisfied that someone else has treated unjustly."    
揼 揼 "[multiple readings]" "[dahm]to trample [dahp]to strike [dám]to pound"    
揼低 揼低 "[dahp dāi]" "to knock down"    
揼骨 揼骨 "[dahp gwāt]" "(to pound bone)to massage"    
揼烂 揼爛 "[dahp laahn]" "(to pound damaged)to pulp" " to smash to a pulp [dám laahn]to smash"   
揼湿 揼濕 "[dahp sāp]" "(to strike wet)to get very wet, to be soaked through."    
揼湿衫 揼濕衫 "[dahp sāp]" "(to strike wet clothes)to get very wet, to be soaked through."    
揼湿身 揼濕身 "[dahp sāp sāam]" "(to strike wet clothes)to get very wet, to be soaked through."    
揼石仔 揼石仔 "[dahp sehk jái]" "to pound small stones)to play mahjong"    
揼死 揼死 "[dahp séi]" "to kill"    
低 低 [dāi] down    
低B仔 低B仔 "[dāi bī jái]" "(low baby)a fool"    
低能 低能 "[dāi nàhng]" "(low ability)a fool" " stupid"   
抵 抵 "[dái dáa]" "(to deserve to beaten)to deserve punishment."    
抵得谂 抵得諗 "[dái dák nám]" "always willing to do more than what one needs to; generous, tractable."    
抵到烂 抵到爛 "[dái dou laahn]" "(at a ruinous price)at a very cheap price"    
抵赖 抵賴 "[dái laaih]" "to find a way to avoid blame, to seek to avoid blame for what one has done. "    
抵你冇仔生 抵你冇仔生 "[dái néih móuh jái sāang]" "(may you have no son)an expression of anger or hatred, a curse such as ""damn you to hell!""."    
抵你生仔冇屎忽 抵你生仔冇屎忽 "[dái néih sāang jái móuh sí fāt]" "(may your son have no ass-hole!)an expression of anger or hatred, a curse such as ""damn you to hell!""."    
抵死 抵死 "[dái séi]" "(worth dying)used to express anger and pleasure that someone has got the fate they deserve, ""it serves (you etc.) right!""."    
底 底 [dái] "1. base2. plan, strategy or secret background, identity, past record3. hundred thousand dollars worth ""dead chips"", i.e. gambling chips that cannot be exchanged for cash4. traid idenity, status as a traid member"    
底牌 底牌 "[dái pàaih]" "the enemy's plan, the opposition's stregth, strategy or secret."    
底盘 底盤 "[dái pùhn]" "the chassis of a car"    
底细 底細 "[dái sai]" "background, identity, past record"    
底横 底橫 "[dái wáahng]" "(low horizontal)underware, underpants"    
谛 諦 [dai] "to mock, to speak sarcastically or iconically about someone."    
第 第 [daih] "a sequence"    
第五肢 第五肢 "[daih ńgi jī]" "(fifth limb)the penis"    
第三茧 第三繭 "[daih sāam gáan]" "(third cocoon)the third time in prison, third conviction."    
第三者 第三者 "[daih sāam jé]" "(third person)the third person in any relationship, e.g the mistress of a married man; a third party"    
第三只脚 第三隻腳 "[daih sāam jek guek]" "(third leg)the penis."    
弟 弟 [daih] "younger brothers"    
弟兄 弟兄 [daih] "(younger brothers older brothers)1. group members2. triad brothers"    
德 德 [dāk] "1. virtue2. a sub-group of the 14K triad society"    
德字堆 德字堆 "[dāk jih dēui]" "the Tak group, a sub-group of the 14K triad society"    
得 得 [dāk] "1. can2. to get"    
得把口 得把口 "[dāk báa háu]" "boasting, boastful talk."    
得把声 得把聲 "[dāk báa sēng]" "boasting, boastful talk."    
得戚 得戚 "[dāk chīk]" "to behave arrogantly"    
得寸进尺 得寸進尺 "[dāk chyun jeun chek]" "(to gain an inch advance to foot)to be given an inch and talk a mile, to overstep the mark, to go too far, to take advantage."    
得啖笑 得啖笑 "[dāk daahm siu]" "(to gain mouthful laugh)to gain very little" " to gain nothing"   
得㗎啦你 得㗎啦你 "[dāk gaa laa néih]" "(you're OK)an expression of anger at what someone has said or done, often used at the close of a verbal confrontation."    
得个桔 得個桔 "[dāk go gāk]" "(to get a kumquat)to end up with nothing"    
得个讲字 得個講字 "[dāk go góng jih]" "said of someone who is boastful, someone who is ""all talk and no action"". "    
得个睇字 得個睇字 "[dāk go tái jih]" "(only the word ""see"")1. only for looking at, not practical or useful2. something one can look at but is not allowed to touch or to own."    
得个样 得個樣 "[dāk go yéung]" "said of someone who seems powerful or rich but who lacks real substance."    
得閒冇屎屙 得閒冇屎屙 "[dāk haahn móuh sí ō]" "(free and no need to shit)to have spare time."    
得閒死唔得閒病 得閒死唔得閒病 "[dāk haahn séi m4 dāk haahn behng]" "(to have time to die no time to be ill)to be extremely busy."    
得咗 得咗 "[dāk jó]" "an exclamation used to express one's joy at a success, ""got it!"", ""bingo!"". "    
得米 得米 "[dāk màih]" "(to get rice)to achieve what one wants, to get what one is after."    
得些好意须回首 得些好意須回首 "[dāk sē hóu yi sēui wùi sáu]" "(if you have a little success, you should turn back)a warning not to go too far, ""don't push your luck!""."    
得人惊 得人驚 "[dāk yàhn gēng]" terrifying    
得意 得意 "[dāk yi]" "1. cute2. strange"    
泵 泵 [dām/dam] "to delay"    
泵泵吓 泵泵吓 "[dām dām háh]" "(to delay a little)to procrastinate"    
"泵长 " "泵長 " "[dām chèuhng]" "to prolong work unnecessarily."    
泵时间 泵時間 "[dām sìh gaan]" "(to prolong time)to stall, to play for time."    
泵波钟 泵波鐘 "[dam bō jūng]" "(to prolong ball-game time)1. to play for time2. to drag out the time."    
揼开 揼開 "[dám hōi]" "to throw away"    
揼落地 揼落地 "[dám lohk deih]" "to throw to the ground"    
抌心口 抌心口 "[dám sām háu]" "to regret, to regret doing something"    
髧 髧 [dam] "1. to drop2. to sag (of breasts)"    
髧兜 髧兜 "[dam deu]" "(sagging heap)to look broken-down with age (said of people)."    
髧落地 髧落地 "[dam lohk deih]" "to drop something" " to drop something on the floor"   
髧落嚟 髧落嚟 "[dam lohk làih]" "to drop (hair or an object)"    
趸 躉 [dán] "1. bottom, backside2. a batch; fans, followers (of pop stars, movie stars)."    
登 登 [dang] "1. to ascend2. to enter"    
登对 登對 "[dang deui]" "(to enter right)well-matched, compatible"    
灯 燈 [dāng] "a lamp"    
灯笼 燈籠 "[dāng lùhng]" "a lantern"    
灯头 燈頭 "[dāng tàuh]" "someone who tries to attract customers off the street into a nightclub or hostess bar."    
灯油火蜡 燈油火蠟 "[dāng yàuh fó laahp]" "(lamp, oil, fire, wax)the overheads, the day-to-day running costs of a business"    
等 等 [dáng] "to wait"    
等到颈都长 等到頸都長 "[dáng dou géng dōu chèuhng]" "(to wait till one's neck becomes long)to have been waiting for a very long time."    
耷 耷 [dāp] drooping    
耷低头 耷低頭 "[dāp dāi tàuh]" "1. shy2. upset, disheartened. "    
兜 兜 [dāu] "1. to ladle 2 to solicit business3. ten, especially ten dollars"    
兜巴身 兜巴身 "[dāu bāa sīng]" "to slap someone in the face."    
兜车 兜車 "[dāu chē]" "to take a car"    
兜客 兜客 "[dāu haak]" "to scout around for customers" " to solicit."   
兜路 兜路 "[dāu louh]" "1. to go the long way round2. to take a longer route than necessary (e.g. taxi driver cheating customer)."    
兜踎 兜踎 "[dāu māu]" "shabby, scruffy"    
兜潺仔 兜潺仔 "[dāu sàahn jài]" "a young boy, a young kid."    
兜人入会 兜人入會 "[dāu yàhn yahp wúi]" "to recreit triad members."    
兜友 兜友 "[dāu yáu]" "1. a person, a ""guy""2. a number of people, a ""few guys""3. to recruit traid members indiscriminately"    
斗 斗 [dáu] "a peck"    
斗令/零 斗令/零 "[dáu líng]" "1. a small or trivial amount of money2. five cent coin (no longer in use)"    
斗令/零都冇 斗令/零都冇 "[dáu líng dōu móuh]" "to have no money, to not have any money, to be ""broke""."    
窦 竇 [dau] "1. a nest2. a flat, an apartment lived in by a man or a group of friends (i.e. as opposed to a family home), a ""pad:, a ""place""3. a place where illegal activity place (gambling, prostitution, drugs, etc)4. a ""hang out""5. a gang headquarters"    
"窦口 " "竇口 " "[dau háu]" "(nest mouth)1. a place where illegal activity takes place (gambling, prostitution, drugs, etc)2. a gang headquarters, a ""hang out""."    
抖 抖 [dau] "to touch"    
抖木 抖木 "[dau muhk]" "(to do carpentry)to drive a car ineptly"    
抖木佬 抖木佬 "[dou muhk lóu]" "(a carpentry guy)a bad driver"    
斗 鬥 [dau] "a contest"    
斗气 鬥氣 "[dau hei]" "on bad terms"    
斗牛 鬥牛 "[dau ngàuh]" "1. bull fight2. a traffic jam (truck driver jargon)"    
斗抛 鬥拋 "[dau pāau]" "to show off before a fight, or an arguement, by using abusive language."    
豆 豆 [dáu] beans    
豆丁/钉 豆丁/釘 "[dauh dēng]" "(bean)a small child, a kid"    
豆腐 豆腐 "[dauh fuh]" "1. bean curd, tofu2. weak"    
豆腐刀 豆腐刀 "[dauh fuh dōu]" "(bean curd knife)an indecisive person, a ""fence-sitter""."    
豆腐婆 豆腐婆 "[dauh fuh pó]" "(bean curd woman)a lesbian"    
豆腐膶 豆腐膶 "[dauh fuh yéun]" "(bean curd liver)very small, tiny (usually applied to an apartment)."    
豆泥 豆泥 "[dauh nàih]" "of low quality; poor in quality (e.g. performance at work, in exams, etc.)."    
豆泥餐厅 豆泥餐廳 "[dauh nàih chāan tēng]" "a shabby restaurant"    
豆皮 豆皮 "[dauh pèih]" "(bean skin)pock-marked" " freckled"   
豆皮佬 豆皮佬 "[dauh pèih lóu]" "a man with a pock-marked face."    
逗 逗 [dauh] "1. to linger2. to tease3. to check someone's identity4. to investigate someone's background5. to support"    
嗲 嗲 "[multiple readings]" "[dē]1. to talk 2. to discuss 3. tea [dé] finicky"    
嗲掂 嗲掂 "[dē dihm]" "to settle a problem, to fix a dispute."    
嗲几句 嗲幾句 "[dē géi geui]" "1. to chat a bit2. to exhange a few remarks"    
嗲少两句 嗲少兩句 "[dē síu léuhng geui]" "an instruction to someone to keep quiet"    
嗲声嗲气 嗲聲嗲氣 "[dē sēng dē hei]" "with a seductive or alluring voice (one which makes an appeal to a man's masculine side)."    
订 訂 [dehng] "1. to reserve2. to book, to place an order3. a location, a place"    
地 地 [deih] ground    
地保 地保 "[deih bóu]" "a person who knows everything about everyone in a particular area. "    
地除 地除 "[deih chèuih]" "to know"    
地胆 地胆 "[deih dáam]" "1. a person who knows everything about everyone and everything in a particular area2. a local gang leader, a local gangster"    
地底泥 地底泥 "[deih dái nàih/làih]" "(underground soil)1. something or someone not worthy or respect2. something cheap and nasty"    
地下钱庄 地下錢莊 "[deih haah chìhn jōng]" "(underground bank)a loan sharing operation."    
地下情 地下情 "[deih haah chìhng]" "(underground love) a secret love affair."    
地踎 地踎 "[deih māu]" "(ground squat)a very cheap restaurant, especially for coolies who squat on stools while eating."    
地盘 地盤 "[deih pùhn]" "(ground basin)1. a construction site2. a triad society district, a territory belonging to or controlled by a traid society."    
地头 地頭 "[deih tàuh]" "territory, sphere of operation, locale"    
地头虫 地頭蟲 "[deih tàuh chùhng]" "(area insect)someone who knows a particular area well, someone who detailed local knowledge."    
地头龙 地頭龍 "[deih tàuh lùhng]" "(local dragon)a powerful figure in a particular area"    
地头蛇 地頭蛇 "[deih tàuh sèh]" "(area snake)someone who knows a particular area well, someone who detailed local knowledge."    
地糊 地糊 "[deih wú]" "a beginning hand in mahjong which only needs one mahjong tile to win."    
籴 糴 [dehk/dek] "1. to rush2. run away"    
籴佬 糴佬 "[dehk lóu]" "1. a criminal fleeing the police2. a debtor fleeing creditors"    
籴米 糴米 "[dehk màih]" "to get rice, to buy rice."    
钉 釘 [dēng] "1. to nail2. to die3. to mark someone (in a ball-game)4. to be investigated by the police5. the interest on money lent by a loanshark"    
钉仓 釘倉 "[dēng chōng]" "1. imprisonment, holding someone hostage or captive, e.g. to recover a loan2. to return to one's cell, to be kept in one's cell"    
钉叠钉 釘叠釘 "[dēng daahp dēng]" "intertest charged on the interest on a loan from a loan-shark"    
钉盖 釘蓋 "[dēng goi]" "(to nail down the lid)1. to die, to be dead2. to be completely ruined, finished."    
钉口 釘口 "[dēng háu]" "the interest on a loan"    
钉牌 釘牌 "[dēng pàaih]" "to have one's license suspended (e.g. driving licence, permit to practice law, medicine, etc.)."    
钉上钉 釘上釘 "[dēng seuhng dēng]" "(nail on nail)the escalating interest on a loan from a loanshark, i.e. the interest on the interest."    
掟 掟 [deng] "to throw"    
掟包糯米鸡 掟包糯米雞 "[deng bāau noh máih gāi]" "(to throw a bag of sticky rice chicken)to unload one's problem on someone, to get someone involved in one's mess or problem."    
掟煲 掟煲 "[deng bōu]" "to break up with boyfriend, girlfriend, husband or wife; to end a relationshop"    
掟煲费 掟煲費 "[deng bōu fai]" "1. a payment made to a boyfriend or girlfriend when a relationship is served2. the compensation paid for the breach of a romantic commitment."    
堆 堆 [dēui] "a pile"    
队 隊 [déui] "1. a team2. to attack3. to stab4. to drink, especially to drink alcohol5. to eat, to eat greedily."    
队啤 隊啤 "[déui bē]" "to drink beer, to drink copious amounts of beer."    
队草 隊草 "[déui chóu]" "to smoke marijuana, ""grass""."    
队酒 隊酒 "[déui jáu]" "to drink alcohol" " to down a drink"   
队冧 隊冧 "[déui lam]" "1. to stab (with an upward motion)2. to kill a perso3. to gun down4. to get someone drunk"    
队硬嘢 隊硬嘢 "[déui ngaahng yéh]" "to get very drunk"    
对 對 [deui] "a pair, right"    
对大奶奶 對大奶奶 "[deui daaih náaih náaih]" "a large pair of breasts"    
对撼 對撼 "[deui hám]" "to fight with"    
对死 對死 "[deui séi]" "stuck, unable to make progress, stalemate (mahjong jargon)."    
对头 對頭 "[deui tàuh]" "(opposite head)the enemy"    
对人冇嘢 對人冇嘢 "[deui yàhn yáuh yéh]" "to have romantic feelings for someone, to be attracted to someone, to ""have a thing"" for someone. "    
啄 啄 [dēung] "to peck"    
啄地 啄地 "[dēung déi]" "(to peck the ground)a prostitute (since a chicken pecks the ground and ""chicken"", 雞 gāi, is slang for prostitute)."    
掉 掉 [dehw] "to throw away"    
D D [dī] "a discotheque, a disco"    
D场 D場 "[dī chèuhng]" "a discotheque, a disco"    
掂 掂 [dihm] satisfactory " okay"   
掂档 掂檔 "[dihm dong]" okay    
掂过碌蔗 掂過碌蔗 "[dihm gwo lūk je]" "really good"    
掂咗 掂咗 "[dihm jó]" "an exclamation, equivalent to ""it's okay now!""; ""it's fixed""; ""it's settled now!""."    
掂晒 掂晒 "[dihm saai]" "an exclamation equivalent to ""everything's settled!"""    
电 電 [dihn] electricity    
电灯胆 電燈膽 "[dihn dāng dáam]" "(electric light bulb)a tactless person, especially someone who intrudes on a courting couple."    
电饭煲 電飯煲 "[dihn faahn bōu]" "rice cooker"    
电联 電聯 "[dihn lyùhn]" "to keep in touch by telephone."    
电台 電台 "[dihn tòih]" "1. broadcasting station"    
电人 電人 "[dihn yàhn]" "(electric person)to attract the sexual attention of men (through dress or behaviour)."    
定 定 [dihng] "1. stable2. calm"    
定过抬油 定過抬油 "[dihng gwo tòih yàuh]" "(steadier than carrying a tub of oil on the shoulder)completely composed, very confident."    
定晒形 定晒形 "[dihn saai yìhng]" "to look at with intense concentration, to stare fixedly."    
叠 疊 [dihp] "a pile"    
